"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL196644";"";"0";"446.00";"0";"4.46";"5";"Cc1c(S(=O)(=O)n2ccc3c(N4CCNCC4)cccc32)sc2ccc(Cl)cc12";"Ki";"'='";"3.162";"nM";"8.50";"";"";"UO_0000065";"19.06";"0.40";"4.04";"15.64";"False";"CHEMBL872163";"Displacement of [3H]LSD from human 5-hydroxytryptamine 6 receptor expressed in HeLa cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143480";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2005";"CHEMBL3308376";""
"CHEMBL193379";"";"0";"400.89";"0";"2.81";"16";"N#Cc1ccc2c(ccn2S(=O)(=O)c2cccc(Cl)c2)c1N1CCNCC1";"Ki";"'='";"5.012";"nM";"8.30";"";"";"UO_0000065";"20.70";"0.42";"5.49";"10.62";"False";"CHEMBL872163";"Displacement of [3H]LSD from human 5-hydroxytryptamine 6 receptor expressed in HeLa cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143480";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2005";"CHEMBL3308376";""
"CHEMBL193665";"";"0";"375.88";"0";"2.94";"17";"O=S(=O)(c1ccccc1)n1ccc2c(N3CCNCC3)c(Cl)ccc21";"Ki";"'='";"1.585";"nM";"8.80";"";"";"UO_0000065";"23.41";"0.48";"5.86";"16.19";"False";"CHEMBL872163";"Displacement of [3H]LSD from human 5-hydroxytryptamine 6 receptor expressed in HeLa cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143480";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2005";"CHEMBL3308376";""
"CHEMBL372287";"";"0";"410.33";"0";"3.59";"19";"O=S(=O)(c1ccc(Cl)cc1)n1ccc2c(N3CCNCC3)c(Cl)ccc21";"Ki";"'='";"6.31";"nM";"8.20";"";"";"UO_0000065";"19.98";"0.43";"4.61";"15.09";"False";"CHEMBL872163";"Displacement of [3H]LSD from human 5-hydroxytryptamine 6 receptor expressed in HeLa cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143480";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2005";"CHEMBL3308376";""
"CHEMBL196524";"";"0";"425.94";"0";"4.09";"22";"O=S(=O)(c1ccc2ccccc2c1)n1ccc2c(N3CCNCC3)c(Cl)ccc21";"Ki";"'='";"25.12";"nM";"7.60";"";"";"UO_0000065";"17.84";"0.36";"3.51";"13.99";"False";"CHEMBL872163";"Displacement of [3H]LSD from human 5-hydroxytryptamine 6 receptor expressed in HeLa cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143480";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2005";"CHEMBL3308376";""
"CHEMBL65";"CAMPTOTHECIN";"0";"348.36";"0";"2.08";"CPT";"CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1";"Ki";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909108";"DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"HeLa";"Membrane";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3308376";""
"CHEMBL3692973";"";"0";"361.39";"0";"3.06";"BDBM166309";"COc1cc(S(=O)(=O)c2cccc(F)c2)cc2c3c(oc12)CCNC3";"Ki";"'='";"0.2";"nM";"9.70";"";"309885";"UO_0000065";"26.84";"0.53";"6.64";"14.15";"False";"CHEMBL3706364";"Radioligand Binding Assay: For binding analysis vs. the human receptor, samples were incubated in 50 mM Tris-HCl, pH 7.5, 5 mM MgCl2, 1 mM EDTA (4% DMSO final) with 10 nM [N-methyl-3H]-LSD (Perkin Elmer), 2.5 ng of human 5-HT6 receptor membranes (Millipore) and 50 ug SPA beads (PVT-PEI-WGA, GE Healthcare) per well in a final volume of 0.2 mL. For binding analysis vs. the rat receptor, samples were incubated in the same buffer with 3.5 nM [N-methyl-3H]-LSD, 50 ug of rat 5-HT6 receptor membranes (Perkin Elmer) and 0.4 mg SPA beads (PVT-PEI-WGA Type B, GE Healthcare) per well also in a final volume of 0.2 mL. Binding reactions were performed in PicoPlate96 microtiter plates (Perkin Elmer) by consecutively adding 50 uL of each competing compound or buffer, SPA beads, radioligand and 5-HT6 receptor membranes. After an overnight incubation at room temperature on a Nutator mixer, plates were centrifuged for 15 min at 1,500 rpm, followed by incubation in the dark for 10 min.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638925";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL3692978";"";"0";"387.46";"0";"2.97";"BDBM166314";"COc1cc(S(=O)(=O)c2ccc([C@H](C)O)cc2)cc2c3c(oc12)CCNC3";"Ki";"'='";"8.6";"nM";"8.07";"";"309890";"UO_0000065";"20.82";"0.41";"5.10";"9.09";"False";"CHEMBL3706364";"Radioligand Binding Assay: For binding analysis vs. the human receptor, samples were incubated in 50 mM Tris-HCl, pH 7.5, 5 mM MgCl2, 1 mM EDTA (4% DMSO final) with 10 nM [N-methyl-3H]-LSD (Perkin Elmer), 2.5 ng of human 5-HT6 receptor membranes (Millipore) and 50 ug SPA beads (PVT-PEI-WGA, GE Healthcare) per well in a final volume of 0.2 mL. For binding analysis vs. the rat receptor, samples were incubated in the same buffer with 3.5 nM [N-methyl-3H]-LSD, 50 ug of rat 5-HT6 receptor membranes (Perkin Elmer) and 0.4 mg SPA beads (PVT-PEI-WGA Type B, GE Healthcare) per well also in a final volume of 0.2 mL. Binding reactions were performed in PicoPlate96 microtiter plates (Perkin Elmer) by consecutively adding 50 uL of each competing compound or buffer, SPA beads, radioligand and 5-HT6 receptor membranes. After an overnight incubation at room temperature on a Nutator mixer, plates were centrifuged for 15 min at 1,500 rpm, followed by incubation in the dark for 10 min.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638925";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL3692995";"";"0";"377.85";"0";"3.57";"BDBM166333";"COc1cc(S(=O)(=O)c2cccc(Cl)c2)cc2c3c(oc12)CCNC3";"Ki";"'='";"0.05";"nM";"10.30";"";"309909";"UO_0000065";"27.26";"0.56";"6.73";"15.03";"False";"CHEMBL3706364";"Radioligand Binding Assay: For binding analysis vs. the human receptor, samples were incubated in 50 mM Tris-HCl, pH 7.5, 5 mM MgCl2, 1 mM EDTA (4% DMSO final) with 10 nM [N-methyl-3H]-LSD (Perkin Elmer), 2.5 ng of human 5-HT6 receptor membranes (Millipore) and 50 ug SPA beads (PVT-PEI-WGA, GE Healthcare) per well in a final volume of 0.2 mL. For binding analysis vs. the rat receptor, samples were incubated in the same buffer with 3.5 nM [N-methyl-3H]-LSD, 50 ug of rat 5-HT6 receptor membranes (Perkin Elmer) and 0.4 mg SPA beads (PVT-PEI-WGA Type B, GE Healthcare) per well also in a final volume of 0.2 mL. Binding reactions were performed in PicoPlate96 microtiter plates (Perkin Elmer) by consecutively adding 50 uL of each competing compound or buffer, SPA beads, radioligand and 5-HT6 receptor membranes. After an overnight incubation at room temperature on a Nutator mixer, plates were centrifuged for 15 min at 1,500 rpm, followed by incubation in the dark for 10 min.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638925";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL3692996";"";"0";"412.29";"0";"4.23";"BDBM166334";"COc1cc(S(=O)(=O)c2cc(Cl)cc(Cl)c2)cc2c3c(oc12)CCNC3";"Ki";"'='";"0.23";"nM";"9.64";"";"309910";"UO_0000065";"23.38";"0.51";"5.41";"14.06";"False";"CHEMBL3706364";"Radioligand Binding Assay: For binding analysis vs. the human receptor, samples were incubated in 50 mM Tris-HCl, pH 7.5, 5 mM MgCl2, 1 mM EDTA (4% DMSO final) with 10 nM [N-methyl-3H]-LSD (Perkin Elmer), 2.5 ng of human 5-HT6 receptor membranes (Millipore) and 50 ug SPA beads (PVT-PEI-WGA, GE Healthcare) per well in a final volume of 0.2 mL. For binding analysis vs. the rat receptor, samples were incubated in the same buffer with 3.5 nM [N-methyl-3H]-LSD, 50 ug of rat 5-HT6 receptor membranes (Perkin Elmer) and 0.4 mg SPA beads (PVT-PEI-WGA Type B, GE Healthcare) per well also in a final volume of 0.2 mL. Binding reactions were performed in PicoPlate96 microtiter plates (Perkin Elmer) by consecutively adding 50 uL of each competing compound or buffer, SPA beads, radioligand and 5-HT6 receptor membranes. After an overnight incubation at room temperature on a Nutator mixer, plates were centrifuged for 15 min at 1,500 rpm, followed by incubation in the dark for 10 min.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638925";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL3696982";"";"0";"327.40";"0";"3.25";"BDBM166376";"COc1cc([S+]([O-])c2ccccc2)cc2c3c(oc12)CCNC3";"Ki";"'='";"7.4";"nM";"8.13";"";"309953";"UO_0000065";"24.83";"0.48";"4.88";"15.80";"False";"CHEMBL3706364";"Radioligand Binding Assay: For binding analysis vs. the human receptor, samples were incubated in 50 mM Tris-HCl, pH 7.5, 5 mM MgCl2, 1 mM EDTA (4% DMSO final) with 10 nM [N-methyl-3H]-LSD (Perkin Elmer), 2.5 ng of human 5-HT6 receptor membranes (Millipore) and 50 ug SPA beads (PVT-PEI-WGA, GE Healthcare) per well in a final volume of 0.2 mL. For binding analysis vs. the rat receptor, samples were incubated in the same buffer with 3.5 nM [N-methyl-3H]-LSD, 50 ug of rat 5-HT6 receptor membranes (Perkin Elmer) and 0.4 mg SPA beads (PVT-PEI-WGA Type B, GE Healthcare) per well also in a final volume of 0.2 mL. Binding reactions were performed in PicoPlate96 microtiter plates (Perkin Elmer) by consecutively adding 50 uL of each competing compound or buffer, SPA beads, radioligand and 5-HT6 receptor membranes. After an overnight incubation at room temperature on a Nutator mixer, plates were centrifuged for 15 min at 1,500 rpm, followed by incubation in the dark for 10 min.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638925";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL606763";"";"0";"403.94";"0";"4.26";"(S)-13c";"CN1CCC[C@H]1Cc1c[nH]c2ccc(NS(=O)(=O)c3ccccc3Cl)cc12";"Ki";"'='";"22.0";"nM";"7.66";"";"";"UO_0000065";"18.96";"0.39";"3.40";"11.74";"False";"CHEMBL830434";"Inhibition of [3H]LSD binding to human 5-hydroxytryptamine 6 receptor expressed in HeLa cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141169";"1";"Scientific Literature";"J. Med. Chem.";"2005";"CHEMBL3308376";""
"CHEMBL606816";"";"0";"453.49";"0";"4.50";"(S)-13o";"CN1CCC[C@H]1Cc1c[nH]c2ccc(NS(=O)(=O)c3ccc(OC(F)(F)F)cc3)cc12";"Ki";"'='";"8.0";"nM";"8.10";"";"";"UO_0000065";"17.85";"0.36";"3.60";"10.88";"False";"CHEMBL830434";"Inhibition of [3H]LSD binding to human 5-hydroxytryptamine 6 receptor expressed in HeLa cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141169";"1";"Scientific Literature";"J. Med. Chem.";"2005";"CHEMBL3308376";""
"CHEMBL121";"ROSIGLITAZONE";"4";"357.44";"0";"2.49";"rosiglitazone";"CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1";"Ki";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909108";"DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"HeLa";"Membrane";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3308376";""
"CHEMBL230069";"";"0";"441.00";"1";"5.15";"15";"Cc1cc(S(=O)(=O)Nc2ccc3c(c2)CCN(C)CC3)ccc1-c1ccc(Cl)cc1";"Ki";"'='";"5.012";"nM";"8.30";"";"";"UO_0000065";"18.82";"0.38";"3.15";"16.80";"False";"CHEMBL905984";"Displacement of radioligand from human recombinant 5HT6 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143778";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL93";"ZILEUTON";"4";"236.30";"0";"2.73";"zileuton";"CC(c1cc2ccccc2s1)N(O)C(N)=O";"Ki";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909108";"DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"HeLa";"Membrane";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3308376";""
"CHEMBL1834236";"";"0";"390.90";"0";"3.43";"17,(R)-(+)-enantiomer";"CCN/C(=N\S(=O)(=O)c1cccc(Cl)c1)N1N=CC[C@@H]1c1ccccc1";"Ki";"'>'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1839301";"Displacement of [3H]-methyllysergic acid diethylamide from human 5-HT6 receptor expressed in CHO cells after 30 mins by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833864";"1";"Scientific Literature";"J. Med. Chem.";"2011";"CHEMBL3308072";""
"CHEMBL377546";"";"0";"386.47";"0";"3.36";"11c";"COc1cc(OC)c2c3c(n(S(=O)(=O)c4ccc(N)cc4)c2c1)CCCC3";"Ki";"'='";"210.0";"nM";"6.68";"";"";"UO_0000065";"17.28";"0.34";"3.32";"7.99";"False";"CHEMBL871427";"Binding affinity to human 5HT6 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138919";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2006";"None";""
"CHEMBL2377591";"";"0";"498.63";"1";"5.16";"32";"COc1ccc2[nH]cc(C3CCN(CCCCN4C(=O)CC(c5c[nH]c6ccccc56)C4=O)CC3)c2c1";"Ki";"'='";"159.0";"nM";"6.80";"";"";"UO_0000065";"13.63";"0.25";"1.64";"8.35";"True";"CHEMBL2379236";"Displacement of [3H]-LSD from human 5HT6 receptor expressed in HEK293 cells after 1 hr";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2375249";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2013";"CHEMBL3307715";""
"CHEMBL606704";"";"0";"434.36";"0";"4.03";"(R)-15j";"O=S(=O)(Nc1ccc2[nH]cc(C[C@H]3CCCN3)c2c1)c1ccc(Br)cc1";"Ki";"'='";"3.0";"nM";"8.52";"";"";"UO_0000065";"19.62";"0.45";"4.49";"11.52";"False";"CHEMBL830434";"Inhibition of [3H]LSD binding to human 5-hydroxytryptamine 6 receptor expressed in HeLa cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141169";"1";"Scientific Literature";"J. Med. Chem.";"2005";"CHEMBL3308376";""
