baid,activity,aid,sid,cid,geneid,pmid,aidtype,aidmdate,hasdrc,rnai,protacxn,acname,acqualifier,acvalue,aidsrcname,aidname,cmpdname,targetname,targeturl,ecs,repacxn,taxids,cellids,targettaxid
99342852,Active,6536,103183384,1809,3362,14613313,Confirmatory,20181017,0,0,P50406,Ki,=,1,ChEMBL,Binding affinity against 5-hydroxytryptamine 6 human cloned receptors in HeLa cells using [3H]LSD as radioligand,5-Carboxamidotryptamine,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,30,
99342853,Active,6536,103165719,5202,3362,14613313,Confirmatory,20181017,0,0,P50406,Ki,=,0.12589,ChEMBL,Binding affinity against 5-hydroxytryptamine 6 human cloned receptors in HeLa cells using [3H]LSD as radioligand,Serotonin,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,30,
99342854,Active,6536,103389663,44364048,3362,14613313,Confirmatory,20181017,0,0,P50406,Ki,=,0.12589,ChEMBL,Binding affinity against 5-hydroxytryptamine 6 human cloned receptors in HeLa cells using [3H]LSD as radioligand,"2-Dipropylamino-1,2,3,4-tetrahydro-naphthalene-1,8-diol",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,30,
99343200,Active,6507,103386766,11414926,3362,14584934,Confirmatory,20181017,0,0,P50406,IC50,=,0.524,ChEMBL,Binding affinity towards 5-hydroxytryptamine 6 receptor using [3H]- LSD as radioligand,(E)-2-(benzenesulfonyl)-3-(pyridin-2-ylamino)prop-2-enenitrile,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99343271,Active,6507,103387123,11743064,3362,14584934,Confirmatory,20181017,0,0,P50406,IC50,=,0.269,ChEMBL,Binding affinity towards 5-hydroxytryptamine 6 receptor using [3H]- LSD as radioligand,"3-Benzenesulfonyl-9-bromo-7-methyl-2-methylsulfanyl-pyrido[1,2-a]pyrimidin-(4Z)-ylideneamine",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99343272,Active,6507,103386734,10249280,3362,14584934,Confirmatory,20181017,0,0,P50406,IC50,=,0.0689,ChEMBL,Binding affinity towards 5-hydroxytryptamine 6 receptor using [3H]- LSD as radioligand,"3-Benzenesulfonyl-2-methylsulfanyl-pyrimido[2,1-a]isoquinolin-(4Z)-ylideneamine",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99343273,Active,6507,103230014,5312145,3362,14584934,Confirmatory,20181017,0,0,P50406,IC50,=,0.0263,ChEMBL,Binding affinity towards 5-hydroxytryptamine 6 receptor using [3H]- LSD as radioligand,"4-amino-N-[2,6-bis(methylamino)pyrimidin-4-yl]benzenesulfonamide",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99343274,Active,6507,103387145,10286610,3362,14584934,Confirmatory,20181017,0,0,P50406,IC50,=,0.004,ChEMBL,Binding affinity towards 5-hydroxytryptamine 6 receptor using [3H]- LSD as radioligand,"3-Benzenesulfonyl-2-methylsulfanyl-pyrido[1,2-a]pyrimidin-4-ylideneamine",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99343275,Active,6507,103386733,11162301,3362,14584934,Confirmatory,20181017,0,0,P50406,IC50,=,3.58,ChEMBL,Binding affinity towards 5-hydroxytryptamine 6 receptor using [3H]- LSD as radioligand,"2-Methylsulfanyl-3-(propane-1-sulfonyl)-pyrido[1,2-a]pyrimidin-(4Z)-ylideneamine",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99343276,Active,6507,103386765,10021389,3362,14584934,Confirmatory,20181017,0,0,P50406,IC50,=,0.0701,ChEMBL,Binding affinity towards 5-hydroxytryptamine 6 receptor using [3H]- LSD as radioligand,"3-Benzenesulfonyl-8-ethyl-2-methylsulfanyl-pyrido[1,2-a]pyrimidin-(4Z)-ylideneamine",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99343277,Active,6507,103387101,10247229,3362,14584934,Confirmatory,20181017,0,0,P50406,IC50,=,0.0876,ChEMBL,Binding affinity towards 5-hydroxytryptamine 6 receptor using [3H]- LSD as radioligand,"3-Benzenesulfonyl-7-fluoro-2-methylsulfanyl-pyrido[1,2-a]pyrimidin-(4Z)-ylideneamine",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99343278,Active,6507,103387124,10362440,3362,14584934,Confirmatory,20181017,0,0,P50406,IC50,=,0.0792,ChEMBL,Binding affinity towards 5-hydroxytryptamine 6 receptor using [3H]- LSD as radioligand,"2-Methylsulfanyl-3-(naphthalene-2-sulfonyl)-pyrido[1,2-a]pyrimidin-(4Z)-ylideneamine",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99345385,Active,6528,103369094,10331436,3362,12954071,Confirmatory,20181017,0,0,P50406,Ki,=,2.2,ChEMBL,Inhibitory constant against human 5-hydroxytryptamine 6 receptor using [3H]LSD radioligand,"(2S)-1-(3,7,8,9-tetrahydropyrano[3,2-e]indol-1-yl)propan-2-amine",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99345386,Active,6528,103369093,9856041,3362,12954071,Confirmatory,20181017,0,0,P50406,Ki,=,0.4,ChEMBL,Inhibitory constant against human 5-hydroxytryptamine 6 receptor using [3H]LSD radioligand,"1-(3,7,8,9-Tetrahydropyrano[3,2-e]indole-1-yl)propane-2-amine",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99347819,Active,6527,103322261,9947817,3362,12825944,Confirmatory,20181017,0,0,P50406,Ki,=,1.12,ChEMBL,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 6 receptor,"N-[3-(1-Methyl-piperidin-4-yl)-1H-pyrrolo[3,2-b]pyridin-5-yl]-propionamide",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349113,Active,6575,103165526,1574,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.046,ChEMBL,Binding affinity towards 5-hydroxytryptamine 6 receptor,2-Methyl-5-hydroxytryptamine,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349128,Active,6511,103308306,6918553,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.003,ChEMBL,Binding affinity towards [3H]LSD-labeled human 5-hydroxytryptamine 6 receptor,"N-(2,5-dibromo-3-fluorophenyl)-4-methoxy-3-(piperazin-1-yl)benzene-1-sulfonamide",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349129,Active,6512,103229985,5312144,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.012,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,"4-amino-N-[2,6-bis(methylamino)pyridin-4-yl]benzenesulfonamide",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349130,Active,6512,103230014,5312145,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.055,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,"4-amino-N-[2,6-bis(methylamino)pyrimidin-4-yl]benzenesulfonamide",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349131,Active,6513,103173840,10171,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.017,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor was evaluated using [125I]-2-iodo LSD as radioligand,2-Bromolysergic acid diethylamide,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349132,Active,6513,103165526,1574,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.4,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor was evaluated using [125I]-2-iodo LSD as radioligand,2-Methyl-5-hydroxytryptamine,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349133,Active,6513,103169070,1355,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,2.3,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor was evaluated using [125I]-2-iodo LSD as radioligand,1-(3-Chlorophenyl)piperazine,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349134,Active,6513,103183489,1342,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.104,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor was evaluated using [125I]-2-iodo LSD as radioligand,1-Naphthylpiperazine,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349135,Active,6513,103308629,44327952,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.18,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor was evaluated using [125I]-2-iodo LSD as radioligand,"(6aR,9R)-N-[(2R)-2-(hydroxymethyl)-2-methylbutyl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349136,Active,6514,103183384,1809,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.72,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor was evaluated using [3H]-LSD as radioligand,5-Carboxamidotryptamine,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349137,Active,6514,103307942,4713248,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,2.6,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor was evaluated using [3H]-LSD as radioligand,3-(2-Dimethylamino-ethyl)-1H-indole-5-sulfonic acid methylamide,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349138,Active,6514,103164209,4184,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.055,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor was evaluated using [3H]-LSD as radioligand,Mianserin,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349139,Active,6514,103165765,135398737,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.0095,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor was evaluated using [3H]-LSD as radioligand,Clozapine,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349250,Active,6567,103272941,6918542,3362,12825922,Confirmatory,20181017,0,0,P50406,Kd,=,0.001318,ChEMBL,Antagonistic activity towards 5-hydroxytryptamine 6 receptor,"2-[1-(benzenesulfonyl)-5-methoxyindol-3-yl]-N,N-dimethylethanamine",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349251,Active,6561,103307725,11723168,3362,12825922,Confirmatory,20181017,0,0,P50406,IC50,=,0.8,ChEMBL,Antagonistic activity towards 5-hydroxytryptamine 6 receptor was evaluated in cAMP assay,"N,N-Dimethyl-1-(phenylsulfonyl)-1H-indole-3-methanamine",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349252,Active,6561,103308706,10356663,3362,12825922,Confirmatory,20181017,0,0,P50406,IC50,=,0.3,ChEMBL,Antagonistic activity towards 5-hydroxytryptamine 6 receptor was evaluated in cAMP assay,1-(4-Aminophenylsulfonyl)-3-methyl-1H-indole,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349294,Active,6563,103165447,49756,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.06,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,"Indole, 3-(2-(dimethylamino)ethyl)-5-methoxy-2-methyl-",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349295,Active,6563,103165765,135398737,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.004,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,Clozapine,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349297,Active,6563,103169389,2726,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.004,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,Chlorpromazine,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349298,Active,6563,103255910,6918647,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.005,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,N-[3-(4-Methylpiperazino)-4-methoxyphenyl]-4-bromobenzenesulfonamide,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349299,Active,6563,103272941,6918542,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.0023,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,"2-[1-(benzenesulfonyl)-5-methoxyindol-3-yl]-N,N-dimethylethanamine",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349300,Active,6563,103308313,2876391,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.005,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,"Octahydro-1h-pyrido[1,2-a]pyrazine",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349301,Active,6563,103308665,44327972,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.033,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,[2-(5-Methoxy-1-phenyl-1H-indol-3-yl)-ethyl]-dimethyl-amine,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349302,Active,6563,103308762,11747350,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.02,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,3-(2-Dimethylamino-ethyl)-1H-indole-2-carboxylic acid ethyl ester,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349303,Active,6563,103503415,16362,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.071,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,Pimozide,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349304,Active,6563,103307794,23844114,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.002,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,4-[3-(2-Dimethylamino-ethyl)-5-methoxy-indole-1-sulfonyl]-phenylamine,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349305,Active,6563,103307795,9927441,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.0041,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,"N,N-Dimethyl-1-(phenylsulfonyl)-1H-indole-3-ethanamine",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349306,Active,6563,103307813,3028929,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.0065,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,[2-(1-Benzyl-5-methoxy-1H-indol-3-yl)-ethyl]-dimethyl-amine,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349307,Active,6563,103307845,9862256,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.0015,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,1-(Phenylsulfonyl)-4-[2-(dimethylamino)ethyl]-1H-indole,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349308,Active,6563,103307876,9906059,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.0079,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,1-(Phenylsulfonyl)-4-[3-(dimethylamino)propyl]-1H-indole,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349309,Active,6563,103308244,12017580,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,19.6,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,[2-(7-Methoxy-1H-indol-3-yl)-ethyl]-dimethyl-amine,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349310,Active,6563,103165505,6918515,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.02,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,"1H-Indole-3-ethanamine, 5-methoxy-N,N-dimethyl-2-phenyl-",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349311,Active,6563,103165506,6918513,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.016,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,"2-(2-ethyl-5-methoxy-1H-indol-3-yl)-N,N-dimethylethanamine",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349312,Active,6563,103165539,52899,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.08,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,2-(5-Methoxy-2-methyl-1H-indol-3-yl)ethanamine,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349313,Active,6563,103165737,1832,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.016,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,"N,N-Dimethyl-5-methoxytryptamine",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349314,Active,6563,103273083,12017577,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.005,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,"N,N-Dimethyl-1-(2-naphthylsulfonyl)-7-methoxy-1H-indole-3-ethanamine",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349315,Active,6563,103307760,44327453,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.13,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,"5-Methoxy-1-(toluene-4-sulfonyl)-1,3,4,5-tetrahydro-benzo[cd]indol-4-ylamine",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349316,Active,6563,103308618,9822215,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.0015,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,"(9-Benzenesulfonyl-6-methoxy-2,3,4,9-tetrahydro-1H-carbazol-4-ylmethyl)-dimethyl-amine",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349317,Active,6563,103308716,6918531,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.05,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,4-amino-N-(6-bromo-1H-indol-4-yl)benzenesulfonamide,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349318,Active,6563,103308802,9863836,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.0014,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,"5-(1,4-diazepan-1-yl)-2-(4-fluorophenylsulfonyl)-N-methylbenzenamine",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349319,Active,6563,103308918,44328120,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.055,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,4-Amino-N-(2-amino-6-bromo-pyridin-4-yl)-benzenesulfonamide,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349320,Active,6563,103308920,10708918,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,1,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,4-Amino-N-(2-amino-6-methylamino-pyrimidin-4-yl)-benzenesulfonamide,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349322,Active,6563,103201440,12017578,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.154,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,O-Methylpsilocin,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349323,Active,6563,103229518,9910619,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.0007,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,"1-(1-Naphthylsulfonyl)-6-(octahydropyrrolo[1,2-a]pyrazine-2-yl)-1H-indole",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349324,Active,6563,103273629,10319296,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.0009,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,"N,N-Dimethyl-1-(1-naphthylsulfonyl)-5-methoxy-1H-indole-3-ethanamine",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349325,Active,6563,103307725,11723168,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.0031,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,"N,N-Dimethyl-1-(phenylsulfonyl)-1H-indole-3-methanamine",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99349326,Active,6563,103307757,23757270,3362,12825922,Confirmatory,20181017,0,0,P50406,Ki,=,0.0008,ChEMBL,Binding affinity towards human 5-hydroxytryptamine 6 receptor,4-[3-(2-Dimethylamino-ethyl)-indole-1-sulfonyl]-phenylamine,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
