	Standard Type	Standard Value	Smiles
10662	Ki	9900.0	C1=CC=C2C=C(C=CC2=C1)CC(=O)N3C4=CC=CC=C4SC5=CC=CC=C53
10663	Ki	84.0	COC1=CC2=C(C=C1)NC=C2CCN(CC=C)CC=C
10671	Ki	909.0	CC(CC1=CNC2=CC=CC=C21)N
10764	Ki	63.0	C1CN(CCC1C2=CNC3=C2C=C(C=C3)F)CCCCN4C(=O)CC(C4=O)C5=CNC6=CC=CC=C65
10766	Ki	159.0	COC1=CC2=C(C=C1)NC=C2C3CCN(CC3)CCCCN4C(=O)CC(C4=O)C5=CNC6=CC=CC=C65
10768	Ki	264.0	COC1=CC2=C(C=C1)NC=C2C3CCN(CC3)CCCN4C(=O)CC(C4=O)C5=CNC6=CC=CC=C65
10769	Ki	1146.0	C1CN(CCC1C2=CNC3=C2C=C(C=C3)F)CCN4C(=O)CC(C4=O)C5=CNC6=CC=CC=C65
10872	Ki	155.0	CN1CCC2=C(C1)C3=CC=CC4=C3N2C5=CC=CC=C5CC4
10946	Ki	273.0	CN1CCC2=C(C1)C3=CC=CC4=C3N2CC5=CC=CC=C5C4
10955	Ki	64.0	C1=CN=CC2=C1NC=C2CCN
10956	Ki	2900.0	CCC1=C(C2=C(N1)C=CN=C2)CCN(C)C
10957	Ki	41.0	CC1=CN(C2=C1C=NC=C2)S(=O)(=O)C3=CC=C(C=C3)N
10958	Ki	84.0	CN(C)CCC1=CN(C2=C1C=NC=C2)S(=O)(=O)C3=CC=CC=C3
11069	Ki	4900.0	CCC1=C(C2=C(N1)C=CN=C2)CCN
11070	Ki	100.0	CN(C)CCC1=CNC2=C1C=NC=C2
11071	Ki	270.0	CN(C)CCC1=C(NC2=C1C=NC=C2)C3=CC=CC=C3
11072	Ki	2600.0	C1=CC=C(C=C1)C2=C(C3=C(N2)C=CN=C3)CCN
11092	Ki	29070.0	CN1C(=O)C(N(C1=O)CCCN2CCN(CC2)C3=CC=CC=C3OC)(C4=CC=CC=C4)C5=CC=CC=C5
11093	Ki	9600.0	CC1(C(=O)N(C(=O)N1CCCCCN2CCN(CC2)C3=CC=CC=C3)C)C4=CC=CC=C4.Cl
11094	Ki	1945.0	CC1(C(=O)N(C(=O)N1CCCCCN2CCN(CC2)C3=CC=C(C=C3)F)CC4=CC=CC=C4)C.Cl
11095	Ki	8103.999999999999	CC1(C(=O)N(C(=O)N1CCCCCN2CCN(CC2)C3=C(C=C(C=C3)F)F)CC4=CC=C(C=C4)F)C.Cl
11096	Ki	10790.0	CC1(C(=O)N(C(=O)N1)CC(CN2CCN(CC2)C3=CC=CC=C3OC)O)C4=CC=C(C=C4)F.Cl
11097	Ki	395.0	CC1(C(=O)N(C(=O)N1CCCCCN2CCN(CC2)C3=C(C(=CC=C3)Cl)Cl)CC4=C(C=C(C=C4)Cl)Cl)C.Cl
11098	Ki	314.0	CC1(C(=O)N(C(=O)N1CCCCCN2CCN(CC2)C3=CC(=C(C=C3)Cl)Cl)CC4=C(C=C(C=C4)Cl)Cl)C.Cl
11099	Ki	2879.0	CC1(C(=O)N(C(=O)N1CCCCCN2CCN(CC2)C3=CC=C(C=C3)Cl)CC4=C(C=C(C=C4)Cl)Cl)C.Cl
11100	Ki	2926.0	CC1(C(=O)N(C(=O)N1CCCCCN2CCN(CC2)C3=CC(=CC=C3)OC)CC4=CC=CC=C4)C.Cl
11101	Ki	20410.0	CN1C(=O)C(N(C1=O)CC(CN2CCN(CC2)C3=CC=CC=C3)O)(C4=CC=CC=C4)C5=CC=CC=C5
11102	Ki	25520.0	CC1(C(=O)N(C(=O)N1CCCCCN2CCN(CC2)C3=CC=CC=C3F)C)C4=CC=CC=C4.Cl
11103	Ki	2506.0	CC1(C(=O)N(C(=O)N1CCCCCN2CCN(CC2)C3=CC=CC=C3F)CC4=CC=CC=C4)C.Cl
11104	Ki	7469.0	CC1(C(=O)N(C(=O)N1CCCCCN2CCN(CC2)C3=C(C=C(C=C3)F)F)CC4=CC=CC=C4)C.Cl
11105	Ki	1762.0	CC1(C(=O)N(C(=O)N1CCCCCN2CCN(CC2)C3=CC=C(C=C3)F)CC4=CC=C(C=C4)F)C.Cl
11106	Ki	3567.0	CN1C(=O)C(N(C1=O)CCCCN2CCN(CC2)C3=CC=CC=C3OC)(C4=CC=CC=C4)C5=CC=CC=C5
11107	Ki	4139.0	CCOC1=CC=CC=C1N2CCN(CC2)CCCN3C(=O)N(C(=O)C3(C4=CC=CC=C4)C5=CC=CC=C5)C
11108	Ki	3071.0	CN1C(=O)C(N(C1=O)CCCCCN2CCN(CC2)C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5.Cl
11109	Ki	14650.0	CC1(C(=O)N(C(=O)N1CCCCCN2CCN(CC2)C3=CC=CC=C3OC)C)C4=CC=CC=C4.Cl
11110	Ki	4368.0	CC1(C(=O)N(C(=O)N1CCCCCN2CCN(CC2)C3=CC=CC=C3)CC4=CC=CC=C4)C.Cl
11111	Ki	8611.0	CC1(C(=O)N(C(=O)N1CCCCCN2CCN(CC2)C3=CC=CC=C3OC)CC4=CC=CC=C4)C.Cl
11135	Ki	47.0	C1CN2C(CC3=CN(C4=C3C2=CC=C4)S(=O)(=O)C5=CC=C=C=C5)CN1
11145	Ki	168.0	COC1=CC=C(C=C1)S(=O)(=O)N2C=C3CC4CNCCN4C5=CC=CC2=C35
11147	Ki	24.0	CC1=CC(=CC=C1)S(=O)(=O)N2C=C3CC4CNCCN4C5=CC=CC2=C35
11151	Ki	96.0	CC1=CC=C(C=C1)S(=O)(=O)N2C=C3CC4CNCCN4C5=CC=CC2=C35
11155	Ki	0.83	C1=CC(=CC(=C1)OCC(C(F)F)(F)F)CNCCC2=CNC3=C2C=CC(=C3)F
11177	Ki	9.0	C1CN2C(CC3=CN(C4=C3C2=CC=C4)S(=O)(=O)C5=CC=CC=C5)CN1
11181	Ki	21.0	CC1=CC=CC=C1S(=O)(=O)N2C=C3CC4CNCCN4C5=CC=CC2=C35
11185	Ki	23.990000000000002	COC1=CC(=CC=C1)S(=O)(=O)N2C=C3CC4CNCCN4C5=CC=CC2=C35
11229	Ki	29.0	C1CN2C(CC3=CN(C4=C3C2=CC=C4)S(=O)(=O)C5=CC=C(C=C5)F)CN1
11235	Ki	184.0	C1CN2C(CC3=CN(C4=C3C2=CC=C4)S(=O)(=O)C5=CC=C(C=C5)Cl)CN1
11239	Ki	26.0	COC1=CC=CC=C1S(=O)(=O)N2C=C3CC4CNCCN4C5=CC=CC2=C35
11267	Ki	776.0	CN1C[C@H](C[C@H]2[C@H]1CC3=CN(C4=CC=CC2=C34)C)NS(=O)(=O)N(C)C
11466	Ki	5.1000000000000005	C1CN(CCN1CCCNS(=O)(=O)C2=CC(=C(C=C2)F)Cl)C3=NSC4=CC=CC=C43
11467	Ki	53.0	C1CN(CCN1CCCCNS(=O)(=O)C2=CC(=C(C=C2)F)Cl)C3=NSC4=CC=CC=C43
11468	Ki	56.0	C1CN(CCN1CCCNS(=O)(=O)C2=CC=C(C=C2)OC(F)(F)F)C3=NSC4=CC=CC=C43
11469	Ki	47.0	C1CN(CCN1CCCCNS(=O)(=O)C2=CC=C(C=C2)OC(F)(F)F)C3=NSC4=CC=CC=C43
11470	Ki	140.0	C1CN(CCN1CCCNS(=O)(=O)C2=CC=CS2)C3=NSC4=CC=CC=C43
11479	Ki	100.0	C1CN(CCC1C2=NOC3=C2C=CC(=C3)F)CCCCNS(=O)(=O)C4=CN=C5N4C=CC=C5
11480	Ki	70.0	C1CN(CCC1C2=NOC3=C2C=CC(=C3)F)CCCCNS(=O)(=O)C4=CC=CC5=C4N=CS5
11481	Ki	140.0	CC1=CC(=CC=C1)S(=O)(=O)NCCCCN2CCC(CC2)C3=NOC4=C3C=CC(=C4)F
11482	Ki	26.0	C1CN(CCC1C2=NOC3=C2C=CC(=C3)F)CCCCNS(=O)(=O)C4=CC(=C(C=C4)Cl)Cl
11483	Ki	48.0	C1CN(CCC1C2=NOC3=C2C=CC(=C3)F)CCCCNS(=O)(=O)C4=CC(=C(C=C4)F)Cl
11484	Ki	250.0	C1CN(CCC1C2=NOC3=C2C=CC(=C3)F)CCNS(=O)(=O)C4=CC=CC5=CC=CC=C54
11488	Ki	13.0	C1CN(CCC1C2=NOC3=C2C=CC(=C3)F)CCCCNS(=O)(=O)C4=CSC5=CC=CC=C54
11489	Ki	1500.0	CC1=CC(=CC=C1)S(=O)(=O)NCCCN2CCN(CC2)C3=NOC4=CC=CC=C43
11490	Ki	1100.0	C1CN(CCN1CCCNS(=O)(=O)C2=CC(=C(C=C2)Cl)Cl)C3=NOC4=CC=CC=C43
11491	Ki	5200.0	C1CN(CCN1CCCCNS(=O)(=O)C2=CC=CS2)C3=NOC4=CC=CC=C43
11495	Ki	95.0	C1CN(CCN1CCCCNS(=O)(=O)C2=CN=C3N2C=CC=C3)C4=NOC5=CC=CC=C54
11499	Ki	15.0	C1CN(CCN1CCCNS(=O)(=O)C2=CC(=C(C=C2)Cl)Cl)C3=NSC4=CC=CC=C43
11500	Ki	42.0	C1CN(CCN1CCCCNS(=O)(=O)C2=CC=CS2)C3=NSC4=CC=CC=C43
11501	Ki	40.0	C1CN(CCN1CCCNS(=O)(=O)C2=CC3=CC=CC=C3C=C2)C4=NSC5=CC=CC=C54
11502	Ki	45.0	C1CN(CCN1CCCCNS(=O)(=O)C2=CC3=C(S2)C=C(C=C3)Cl)C4=NSC5=CC=CC=C54
11503	Ki	54.0	CC1=C(SC2=C1C=C(C=C2)F)S(=O)(=O)NCCCCN3CCN(CC3)C4=NSC5=CC=CC=C54
11504	Ki	23.0	C1CN(CCC1C2=NOC3=C2C=CC(=C3)F)CCCCNS(=O)(=O)C4=CC=C(C=C4)OC(F)(F)F
11505	Ki	66.0	C1CN(CCC1C2=NOC3=C2C=CC(=C3)F)CCCNS(=O)(=O)C4=CC=CS4
11506	Ki	130.0	C1CN(CCC1C2=NOC3=C2C=CC(=C3)F)CCCCNS(=O)(=O)C4=CC=CS4
11507	Ki	44.0	C1CN(CCC1C2=NOC3=C2C=CC(=C3)F)CCCNS(=O)(=O)C4=CC5=C(S4)C=C(C=C5)Cl
11511	Ki	25.0	CC1=C(SC2=C1C=C(C=C2)F)S(=O)(=O)NCCCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
11515	Ki	32.0	C1CN(CCC1C2=NOC3=C2C=CC(=C3)F)CCCNS(=O)(=O)C4=CC5=CC=CC=C5C=C4
11519	Ki	26.0	C1CN(CCC1C2=NOC3=C2C=CC(=C3)F)CCCNS(=O)(=O)C4=CC5=C(C=C4)C=C(C=C5)Cl
11523	Ki	35.0	C1CN(CCC1C2=NOC3=C2C=CC(=C3)F)CCCNS(=O)(=O)C4=CC=C(C=C4)OC(F)(F)F
11524	Ki	2200.0	C1CN(CCN1CCCNS(=O)(=O)C2=CC=C(C=C2)OC(F)(F)F)C3=NOC4=CC=CC=C43
11525	Ki	4800.0	C1CN(CCN1CCCCNS(=O)(=O)C2=CC=C(C=C2)OC(F)(F)F)C3=NOC4=CC=CC=C43
11526	Ki	210.0	CC1=CC(=CC=C1)S(=O)(=O)NCCN2CCC(CC2)C3=NOC4=C3C=CC(=C4)F
11527	Ki	100.0	C1CN(CCN1CCCNS(=O)(=O)C2=CC3=C(C=C2)C=C(C=C3)Cl)C4=NSC5=CC=CC=C54
11528	Ki	61.0	C1CN(CCN1CCCCNS(=O)(=O)C2=CC3=C(C=C2)C=C(C=C3)Cl)C4=NSC5=CC=CC=C54
11529	Ki	63.0	C1CN(CCN1CCCNS(=O)(=O)C2=CC3=CC=CC=C3S2)C4=NSC5=CC=CC=C54
11530	Ki	33.0	C1CN(CCN1CCCCNS(=O)(=O)C2=CC3=CC=CC=C3S2)C4=NSC5=CC=CC=C54
11531	Ki	330.0	C1CN(CCN1CCCNS(=O)(=O)C2=CC(=C(C=C2)F)Cl)C3=NOC4=CC=CC=C43
11532	Ki	27.0	C1CN(CCN1CCCCNS(=O)(=O)C2=CC(=C(C=C2)F)Cl)C3=NOC4=CC=CC=C43
11533	Ki	13.0	C1CN(CCC1C2=NOC3=C2C=CC(=C3)F)CCCNS(=O)(=O)C4=CSC5=CC=CC=C54
11534	Ki	40.0	C1CN(CCC1C2=NOC3=C2C=CC(=C3)F)CCCNS(=O)(=O)C4=CC5=CC=CC=C5S4
11535	Ki	100.0	C1CN(CCC1C2=NOC3=C2C=CC(=C3)F)CCCNS(=O)(=O)C4=CN=C5N4C=CC=C5
11536	Ki	23.0	C1CN(CCC1C2=NOC3=C2C=CC(=C3)F)CCCNS(=O)(=O)C4=CC=CC5=C4N=CS5
11537	Ki	430.0	CC1=CC(=CC=C1)S(=O)(=O)NCCN2CCN(CC2)C3=NSC4=CC=CC=C43
11538	Ki	22.0	CC1=CC(=CC=C1)S(=O)(=O)NCCCN2CCN(CC2)C3=NSC4=CC=CC=C43
11539	Ki	46.0	C1CN(CCN1CCCCNS(=O)(=O)C2=CC3=C(S2)C=C(C=C3)Cl)C4=NOC5=CC=CC=C54
11540	Ki	17.0	CC1=C(SC2=C1C=C(C=C2)F)S(=O)(=O)NCCCCN3CCN(CC3)C4=NOC5=CC=CC=C54
11547	Ki	83.0	C1CN(CCC1C2=NOC3=C2C=CC(=C3)F)CCCNS(=O)(=O)C4=CC=CC5=CC=CC=C54
11548	Ki	133.0	C1CN(CCC1C2=NOC3=C2C=CC(=C3)F)CCNS(=O)(=O)C4=CC5=CC=CC=C5C=C4
11549	Ki	110.0	C1CN(CCN1CCCNS(=O)(=O)C2=CC3=C(S2)C=C(C=C3)Cl)C4=NSC5=CC=CC=C54
11550	Ki	120.0	CC1=C(SC2=C1C=C(C=C2)F)S(=O)(=O)NCCCN3CCN(CC3)C4=NSC5=CC=CC=C54
11551	Ki	87.0	CC1=CC(=CC=C1)S(=O)(=O)NCCCCN2CCN(CC2)C3=NOC4=CC=CC=C43
11552	Ki	29.0	C1CN(CCN1CCCCNS(=O)(=O)C2=CC(=C(C=C2)Cl)Cl)C3=NOC4=CC=CC=C43
11553	Ki	1600.0	C1CN(CCN1CCCNS(=O)(=O)C2=CC3=CC=CC=C3C=C2)C4=NOC5=CC=CC=C54
11554	Ki	2300.0	C1CN(CCN1CCCNS(=O)(=O)C2=CC3=C(C=C2)C=C(C=C3)Cl)C4=NOC5=CC=CC=C54
11555	Ki	1100.0	C1CN(CCN1CCCCNS(=O)(=O)C2=CC3=CC=CC=C3S2)C4=NOC5=CC=CC=C54
11556	Ki	560.0	C1CN(CCN1CCCNS(=O)(=O)C2=CC3=C(S2)C=C(C=C3)Cl)C4=NOC5=CC=CC=C54
11557	Ki	100.0	CC1=CC(=CC=C1)S(=O)(=O)NCCCCN2CCN(CC2)C3=NSC4=CC=CC=C43
11558	Ki	71.0	C1CN(CCN1CCCCNS(=O)(=O)C2=CC(=C(C=C2)Cl)Cl)C3=NSC4=CC=CC=C43
11559	Ki	680.0	C1CN(CCN1CCNS(=O)(=O)C2=CC3=CC=CC=C3C=C2)C4=NSC5=CC=CC=C54
11563	Ki	84.0	C1CN(CCN1CCCNS(=O)(=O)C2=CN=C3N2C=CC=C3)C4=NSC5=CC=CC=C54
11564	Ki	140.0	C1CN(CCN1CCCCNS(=O)(=O)C2=CN=C3N2C=CC=C3)C4=NSC5=CC=CC=C54
11565	Ki	27.0	C1CN(CCN1CCCNS(=O)(=O)C2=CC=CC3=C2N=CS3)C4=NSC5=CC=CC=C54
11566	Ki	120.0	C1CN(CCN1CCCCNS(=O)(=O)C2=CC=CC3=C2N=CS3)C4=NSC5=CC=CC=C54
11567	Ki	18.0	C1CN(CCN1CCCCNS(=O)(=O)C2=CC3=C(C=C2)C=C(C=C3)Cl)C4=NOC5=CC=CC=C54
11568	Ki	35.0	C1CN(CCN1CCCNS(=O)(=O)C2=CC3=CC=CC=C3S2)C4=NOC5=CC=CC=C54
11575	Ki	5700.0	C1C(=O)N(C2(S1)C3=CC=CC=C3NC2=O)C4=CC=CC=C4
11576	Ki	54.0	C1CNCCC2=C1C=CC(=C2)N3CC(CC3=O)C4=CC=CC=C4
11577	Ki	16.0	C1CNCCC2=C1C=CC(=C2)N3CC(OC3=O)C4=CC=CC=C4
11578	Ki	15.0	C1CNCCC2=C1C=CC(=C2)N3CC(OC3=O)C4=CC=CC=C4F
11579	Ki	47.0	C1CNCCC2=C1C=CC(=C2)N3CC(OC3=O)C4=CC=CC=C4Cl
11580	Ki	87.0	COC1=CC=CC=C1C2CN(C(=O)O2)C3=CC4=C(CCNCC4)C=C3
11581	Ki	240.0	C1CNCCC1OC2=CC=CC(=C2)N3CC(OC3=O)C4=CC=CC=C4Cl
11582	Ki	1900.0	C1CN(CCN1)C2=CC=C(C=C2)N3CC(OC3=O)C4=CC=CC=C4Cl
11583	Ki	140.0	C1CN(CCN1)C2=CC(=CC=C2)N3CC(OC3=O)C4=CC=CC=C4Cl
11584	Ki	88.0	COC1=CC(=CC(=C1)N2C(=O)CSC23C4=CC=CC=C4NC3=O)OC
11585	Ki	100.0	C1CNCCC2=C1C=CC(=C2)N3CC(CC3=O)C4=CC=CC=C4Cl
11586	Ki	1200.0	C1CC2=C(CNC1)C=CC(=C2)N3CC(CC3=O)C4=CC=CC=C4
11590	Ki	4900.0	C1CC(=O)N(C1)C2=CN=C3C(=C2)C=CC=C3N4CCNCC4
11591	Ki	650.0	C1CN(CC1C2=CC=CC=C2Cl)C3=CC4=C(CCNCC4)C=C3
11592	Ki	140.0	C1CNCC2=C1C=CC(=C2)N3CC(CC3=O)C4=CC=CC=C4
11593	Ki	55.0	C1CN(CCN1)C2=C3C=CC(=CC3=NC=C2)N4CC(CC4=O)C5=CC=CC=C5
11594	Ki	10.0	C1CNCCN(C1)C2=CC=CC3=CC(=CN=C32)N4CC(CC4=O)C5=CC=CC=C5
11595	Ki	10.0	C1CNCCC2=C1C=CC(=C2)N3CC(OC3=O)C4=CC(=CC=C4)Cl
11596	Ki	70.0	C1CNCCC1C2=CC(=CC=C2)N3CC(CC3=O)C4=CC=CC=C4
11597	Ki	84.0	C1CN(CCN1)C2=CC(=CC=C2)N3CC(CC3=O)C4=CC=CC=C4
11598	Ki	48.0	C1CN(CCN1)C2=NC(=CC=C2)N3CC(CC3=O)C4=CC=CC=C4
11599	Ki	4100.0	C1CN(CCN1)C2=CC(=CN=C2)N3CC(CC3=O)C4=CC=CC=C4
11600	Ki	150.0	C1CNCC2=C1C=CC(=C2)N3CC(OC3=O)C4=CC=CC=C4Cl
11601	Ki	330.0	C1CNCC2=C1C=C(C=C2)N3CC(OC3=O)C4=CC=CC=C4Cl
11602	Ki	47.0	C1C(CN1)OC2=C(C=CC(=C2)Br)OCC3=CC(=CC=C3)Cl
11603	Ki	0.22	CN1CCC(CC1)C2=CC=CC3=CC(=CN=C32)S(=O)(=O)C4=CC=CC=N4
11604	Ki	0.34	CN1CCN(CC1)C2=CC=CC3=CC(=CN=C32)S(=O)(=O)C4=CC=CC(=C4)F
11650	Ki	15.85	CN1CCC2C(C1)C3=C4N2C5=CC=CC=C5CSC4=CC=C3
11651	Ki	630.9599999999999	C1CN(CCC1C2=NOC3=C2C=CC(=C3)F)CC4CC5=C(C=NN5)C(=O)C4
11652	Ki	354.81	C1CCN(C1)C2=NC3=C(S2)C(=O)CC(C3)CN4CCC(CC4)C5=CNC6=C5C=CC(=C6)F
11653	Ki	213.79999999999998	CC1=NC2=C(O1)CC(CC2=O)CN3CCC(CC3)C4=CNC5=C4C=CC(=C5)F
11654	Ki	1902.0	CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCCCN3CCN(CC3)C4=CC(=C(C=C4)Cl)Cl.Cl
11655	Ki	10350.0	CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCCCCN3CCN(CC3)C4=CC=CC=C4.Cl
11656	Ki	8987.0	CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCCCCN3CCN(CC3)C4=CC=CC=C4OC.Cl
11657	Ki	1195.0	CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCCCCN3CCN(CC3)C4=CC(=CC=C4)Cl.Cl
11658	Ki	12250.0	CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCCN3CCC4=CC=CC=C4C3.Cl
11678	Ki	12100.0	CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCCN3CCN(CC3)C4=CC=CC=C4OC.Cl
11679	Ki	20290.0	CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl.Cl
11680	Ki	1970.0	CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCCCN3CCN(CC3)C4=CC=CC=C4OC.Cl
11681	Ki	68.0	CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl.Cl
11682	Ki	9141.0	CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCCCCN3CCC4=CC=CC=C4C3.Cl
11683	Ki	14210.0	CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCCCN3CCN(CC3)C4=CC=CC=C4.Cl
11684	Ki	5150.0	CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCCCN3CCN(CC3)C4=CC(=CC=C4)Cl.Cl
11685	Ki	11670.0	CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCCCN3CCC4=CC=CC=C4C3.Cl
11686	Ki	207.0	CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)N3CCOCC3)CCCCN4CCN(CC4)C5=CC(=CC=C5)Cl
11687	Ki	20080.0	CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCCN3CCN(CC3)C4=CC=CC=C4.Cl
11715	Ki	447.0	CN1C2=C(C(=O)N(C1=O)C)N3C=C(N(C3=N2)CCCCN4CCN(CC4)C5=CC=C(C=C5)Cl)C6=CC=CC=C6
11716	Ki	510.0	CC1=C(C(=CC=C1)N2CCN(CC2)CCCCN3C(=CN4C3=NC5=C4C(=O)N(C(=O)N5C)C)C)C
11719	Ki	839.0	CN1C2=C(C(=O)N(C1=O)C)N3C=CC(=O)N(C3=N2)CCCCCN4CCN(CC4)C5=CC=C(C=C5)Cl
11720	Ki	1591.0	CN1C2=C(C(=O)N(C1=O)C)N3C=CN(C3=N2)CCCCCN4CCN(CC4)C5=CC=C(C=C5)Cl
11721	Ki	1456.0	CC1=CN2C3=C(N=C2N1CCCCN4CCN(CC4)C5=CC=C(C=C5)Cl)N(C(=O)N(C3=O)C)C
11722	Ki	837.0	CC1=CN2C3=C(N=C2N1CCCCCN4CCN(CC4)C5=CC=C(C=C5)Cl)N(C(=O)N(C3=O)C)C
11723	Ki	45.0	CN1C2=C(C(=O)N(C1=O)C)N3C=C(N(C3=N2)CCCCCN4CCN(CC4)C5=CC=C(C=C5)Cl)C6=CC=CC=C6
11724	Ki	405.0	CC1=CN2C3=C(N=C2N1CCCCCN4CCN(CC4)C5=CC(=C(C=C5)Cl)Cl)N(C(=O)N(C3=O)C)C
11725	Ki	86.0	CN1C2=C(C(=O)N(C1=O)C)N3C=CC(=O)N(C3=N2)CCCCN4CCN(CC4)C5=CC=C(C=C5)Cl
11747	Ki	100.0	CN(C)CCN1C2=C(C=C(C=C2)S(=O)(=O)NC3=CC=CC4=CC=CC=C43)SC1=O
11782	Ki	0.4	C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=CC=CC5=C4C=CN5S(=O)(=O)C6=CC=CC=C6
11784	Ki	45.0	C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=CC=CC5=C4C=CN5CC6=CC=CC=C6F
11812	Ki	140.0	C1CN(CCC1C2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC=C4)CCCCOC5=CC6=C(CCC(=O)N6)C=C5
11813	Ki	52.0	C1CC(=O)NC2=C1C=CC(=C2)OCCCCNCCC3=CN(C4=CC=CC=C43)S(=O)(=O)C5=CC=CC=C5
11814	Ki	23.0	C1CN(CCN1CCCOC2=CC=CC=C2C(=O)N)C3=CC=CC4=C3C=CN4CC5=CC=CC=C5F
11815	Ki	83.0	C1CN(CCN1CCCOC2=CC=CC=C2C(=O)N)C3=CC=CC4=C3C=CN4CC5=CC=C(C=C5)F
11816	Ki	2.3	C1CC(=O)NC2=C1C=CC(=C2)OCCCN3CCN(CC3)C4=CC=CC5=C4C=CN5S(=O)(=O)C6=CC=CC=C6
11817	Ki	11.0	CC(C)OC1=CC=CC=C1OCCCCN2CCN(CC2)C3=CC=CC4=C3C=CN4S(=O)(=O)C5=CC=CC=C5
11818	Ki	16.0	C1CN(CCN1CCCCOC2=CC=CC=C2)C3=CC=CC4=C3C=CN4S(=O)(=O)C5=CC=CC=C5
11819	Ki	100.0	C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=CC=CC5=C4C=CN5CC6=CC=C(C=C6)F
11820	Ki	3.8	C1CN(CCN1CCCOC2=CC3=C(C=C2)C=CO3)C4=CC=CC5=C4C=CN5S(=O)(=O)C6=CC=CC=C6
11823	Ki	2.8	C1CN(CCN1CCCCOC2=CC=CC=C2C(=O)N)C3=CC=CC4=C3C=CN4S(=O)(=O)C5=CC=CC=C5
11824	Ki	1.7	CC(C)OC1=CC=CC=C1OCCCN2CCN(CC2)C3=CC=CC4=C3C=CN4S(=O)(=O)C5=CC=CC=C5
11825	Ki	490.0	C1CN(CCC1C2=CN(C3=CC=CC=C32)CC4=CC=CC=C4)CCCOC5=CC=CC=C5C(=O)N
11826	Ki	33.0	C1CN(CC=C1C2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC=C4)CCCOC5=CC=CC=C5C(=O)N
11827	Ki	9.9	C1CN(CCN1CCCOC2=CC=CC=C2C(=O)N)C3=CC=CC4=C3C=CN4CC5=CC(=CC=C5)F
11828	Ki	12.6	C1CN(CCN1CCCOC2=CC=CC=C2C(=O)N)C3=CC=CC4=C3C=CN4CC5=CC(=CC=C5)Cl
11829	Ki	7.6	C1CN(CCN1CCCOC2=CC=CC=C2)C3=CC=CC4=C3C=CN4S(=O)(=O)C5=CC=CC=C5
11830	Ki	5.4	C1CN(CCN1CCCOC2=CC=C(C=C2)F)C3=CC=CC4=C3C=CN4S(=O)(=O)C5=CC=CC=C5
11831	Ki	20.0	C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=CC=CC5=C4C=CN5CC6=CC(=CC=C6)F
11833	Ki	62.0	C1=CC=C(C=C1)S(=O)(=O)N2C=C(C3=CC=CC=C32)CCNCCCOC4=CC=CC=C4C(=O)N
11834	Ki	24.0	C1CN(CCN1CCCOC2=CC=CC=C2C(=O)N)C3=CC=CC4=C3C=CN4CC5=CC=CC=C5
11835	Ki	6.8999999999999995	C1CN(CCN1CCCCOC2=CC=C(C=C2)F)C3=CC=CC4=C3C=CN4S(=O)(=O)C5=CC=CC=C5
11836	Ki	150.0	C1CC(=O)NC2=C1C=CC(=C2)OCCCCNCCC3=CN(C4=CC=CC=C43)CC5=CC=CC=C5
11837	Ki	13.0	C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=CC=CC5=C4C=CN5CC6=CC=CC=C6
11839	Ki	7.3	C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=CC=CC5=C4C=CN5CC6=CC(=CC=C6)Cl
11841	Ki	590.0	C1CN(CC=C1C2=CN(C3=CC=CC=C32)CC4=CC=CC=C4)CCCOC5=CC=CC=C5C(=O)N
11842	Ki	22.0	C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCC(=CC3)C4=CN(C5=CC=CC=C54)CC6=CC=CC=C6
